id,predicted_label
0,3
1,3
2,3
3,3
4,0
5,0
6,0
7,2
8,3
9,4
10,3
11,3
12,6
13,3
14,5
15,6
16,2
17,2
18,4
19,5
20,3
21,6
22,3
23,3
24,0
25,6
26,3
27,6
28,3
29,5
30,3
31,5
32,2
33,0
34,4
35,4
36,2
37,3
38,6
39,0
40,3
41,0
42,3
43,2
44,0
45,6
46,3
47,6
48,0
49,0
50,4
51,0
52,4
53,6
54,6
55,2
56,0
57,4
58,4
59,3
60,5
61,0
62,6
63,3
64,4
65,0
66,3
67,3
68,0
69,4
70,2
71,6
72,6
73,3
74,2
75,3
76,6
77,3
78,0
79,5
80,4
81,4
82,3
83,6
84,3
85,6
86,6
87,6
88,4
89,0
90,4
91,5
92,3
93,4
94,4
95,3
96,2
97,2
98,4
99,2
100,4
101,3
102,4
103,4
104,4
105,6
106,5
107,3
108,2
109,3
110,4
111,6
112,0
113,5
114,5
115,5
116,4
117,6
118,3
119,0
120,3
121,3
122,4
123,3
124,0
125,2
126,3
127,6
128,6
129,3
130,3
131,4
132,6
133,4
134,2
135,4
136,3
137,3
138,0
139,3
140,3
141,0
142,2
143,6
144,3
145,2
146,2
147,0
148,2
149,4
150,4
151,5
152,4
153,5
154,3
155,5
156,6
157,2
158,2
159,6
160,4
161,3
162,6
163,6
164,5
165,5
166,5
167,3
168,3
169,3
170,3
171,2
172,2
173,0
174,4
175,3
176,1
177,3
178,3
179,2
180,3
181,2
182,4
183,4
184,5
185,6
186,6
187,2
188,3
189,6
190,4
191,3
192,6
193,4
194,2
195,5
196,0
197,2
198,6
199,0
200,0
201,6
202,4
203,0
204,4
205,4
206,3
207,3
208,0
209,6
210,0
211,3
212,2
213,0
214,3
215,6
216,4
217,3
218,6
219,3
220,3
221,4
222,3
223,2
224,3
225,3
226,2
227,3
228,4
229,3
230,3
231,6
232,6
233,5
234,2
235,4
236,3
237,3
238,0
239,0
240,6
241,4
242,3
243,3
244,3
245,4
246,3
247,5
248,3
249,2
250,6
251,0
252,5
253,3
254,0
255,3
256,2
257,4
258,3
259,0
260,3
261,3
262,3
263,6
264,3
265,5
266,3
267,3
268,6
269,3
270,2
271,5
272,0
273,6
274,3
275,4
276,3
277,6
278,3
279,4
280,4
281,4
282,2
283,2
284,0
285,6
286,2
287,6
288,3
289,3
290,0
291,2
292,0
293,2
294,6
295,2
296,6
297,3
298,6
299,4
300,6
301,2
302,5
303,3
304,3
305,0
306,2
307,5
308,3
309,3
310,3
311,4
312,6
313,3
314,4
315,2
316,0
317,4
318,6
319,1
320,2
321,3
322,6
323,6
324,0
325,4
326,3
327,3
328,3
329,4
330,4
331,3
332,4
333,0
334,2
335,2
336,3
337,5
338,2
339,3
340,4
341,0
342,5
343,0
344,6
345,3
346,0
347,6
348,3
349,3
350,3
351,6
352,6
353,2
354,2
355,2
356,0
357,3
358,4
359,3
360,4
361,3
362,0
363,6
364,4
365,3
366,3
367,3
368,2
369,3
370,3
371,6
372,0
373,1
374,6
375,5
376,5
377,1
378,0
379,0
380,4
381,5
382,3
383,3
384,3
385,4
386,2
387,0
388,3
389,4
390,3
391,3
392,0
393,2
394,3
395,5
396,5
397,3
398,3
399,3
400,0
401,6
402,0
403,5
404,3
405,0
406,0
407,4
408,5
409,3
410,6
411,4
412,3
413,6
414,6
415,6
416,3
417,3
418,3
419,6
420,4
421,3
422,3
423,3
424,6
425,2
426,6
427,3
428,6
429,3
430,6
431,4
432,3
433,3
434,4
435,6
436,6
437,4
438,6
439,2
440,2
441,2
442,4
443,3
444,0
445,2
446,1
447,4
448,5
449,5
450,2
451,5
452,3
453,3
454,3
455,6
456,3
457,3
458,2
459,3
460,0
461,5
462,5
463,6
464,2
465,2
466,0
467,6
468,6
469,2
470,3
471,2
472,4
473,2
474,4
475,6
476,2
477,4
478,4
479,5
480,4
481,4
482,5
483,5
484,5
485,5
486,4
487,2
488,3
489,4
490,4
491,2
492,4
493,6
494,0
495,4
496,6
497,6
498,5
499,5
500,3
501,3
502,2
503,2
504,3
505,3
506,4
507,6
508,0
509,3
510,3
511,0
512,5
513,6
514,5
515,3
516,0
517,0
518,6
519,4
520,2
521,3
522,4
523,2
524,0
525,3
526,3
527,2
528,6
529,3
530,0
531,4
532,3
533,5
534,6
535,4
536,6
537,3
538,4
539,0
540,3
541,5
542,4
543,3
544,0
545,2
546,2
547,3
548,3
549,5
550,6
551,5
552,4
553,3
554,3
555,3
556,4
557,0
558,4
559,2
560,4
561,5
562,6
563,6
564,3
565,0
566,4
567,4
568,6
569,3
570,3
571,3
572,2
573,3
574,6
575,5
576,3
577,3
578,4
579,3
580,0
581,5
582,6
583,3
584,3
585,0
586,3
587,4
588,0
589,0
590,5
591,2
592,4
593,3
594,5
595,3
596,4
597,3
598,6
599,2
600,6
601,3
602,5
603,4
604,5
605,0
606,0
607,4
608,6
609,3
610,6
611,4
612,3
613,5
614,2
615,6
616,4
617,6
618,3
619,6
620,3
621,3
622,3
623,2
624,5
625,2
626,5
627,3
628,2
629,0
630,3
631,4
632,2
633,2
634,3
635,3
636,2
637,4
638,5
639,6
640,5
641,3
642,3
643,2
644,4
645,3
646,0
647,4
648,3
649,2
650,4
651,3
652,6
653,6
654,5
655,2
656,6
657,2
658,6
659,2
660,3
661,6
662,2
663,2
664,3
665,2
666,4
667,6
668,4
669,5
670,2
671,2
672,3
673,4
674,3
675,3
676,2
677,6
678,0
679,4
680,3
681,0
682,4
683,2
684,4
685,3
686,4
687,4
688,2
689,2
690,2
691,4
692,4
693,6
694,2
695,4
696,3
697,6
698,3
699,0
700,6
701,2
702,0
703,0
704,6
705,0
706,6
707,2
708,4
709,4
710,2
711,3
712,0
713,4
714,4
715,3
716,2
717,4
718,2
719,0
720,6
721,6
722,4
723,3
724,2
725,4
726,0
727,6
728,2
729,2
730,3
731,3
732,0
733,2
734,5
735,6
736,6
737,3
738,3
739,3
740,2
741,0
742,4
743,3
744,6
745,5
746,2
747,3
748,3
749,3
750,4
751,3
752,4
753,6
754,2
755,3
756,2
757,2
758,6
759,3
760,4
761,0
762,6
763,4
764,6
765,3
766,2
767,5
768,5
769,0
770,4
771,6
772,0
773,5
774,2
775,5
776,5
777,4
778,2
779,3
780,2
781,2
782,4
783,4
784,0
785,2
786,4
787,6
788,4
789,2
790,3
791,3
792,6
793,4
794,3
795,4
796,3
797,0
798,2
799,3
800,6
801,4
802,2
803,0
804,0
805,2
806,6
807,6
808,5
809,3
810,3
811,0
812,3
813,3
814,4
815,4
816,3
817,0
818,3
819,6
820,6
821,3
822,3
823,4
824,4
825,4
826,0
827,6
828,1
829,0
830,6
831,3
832,4
833,3
834,3
835,3
836,0
837,3
838,4
839,1
840,3
841,4
842,3
843,2
844,0
845,0
846,3
847,0
848,6
849,6
850,0
851,6
852,3
853,2
854,3
855,0
856,3
857,3
858,4
859,3
860,4
861,4
862,3
863,6
864,0
865,6
866,4
867,6
868,6
869,3
870,3
871,3
872,3
873,2
874,3
875,3
876,3
877,6
878,5
879,4
880,0
